,manga_name,manga_link,volumes,chapters,status,genres,authors,serialization,members,favorite,score,rank,popularity,published 
2371,Travel,https://myanimelist.net/manga/14207/Travel,1,Unknown,Finished,"Slice of Life, Psychological","Yokoyama, Yuuichi (Story & Art)",Comic Cue,239,4,7.351,53772,18961,"Apr  1, 2006"
2372,Koakuma Lion,https://myanimelist.net/manga/15628/Koakuma_Lion,1,5,Finished,"Comedy, Romance, School, Shoujo","Ichikawa, Shou (Story & Art)",Sho-Comi,"5,759",19,7.351,53782,1749,"Apr  20, 2009 to ?"
2373,Koko de wa Nai★Doko ka,https://myanimelist.net/manga/15765/Koko_de_wa_Nai★Doko_ka,3,22,Finished,"Shoujo, Slice of Life","Hagio, Moto (Story & Art)",Flowers (Monthly),485,2,7.351,53792,13640,"Feb  28, 2006 to 2011"
2374,Shikou Shounen,https://myanimelist.net/manga/15917/Shikou_Shounen,2,12,Finished,"Drama, Romance, Shoujo","Fujiwara, Kaoru (Story & Art)",Kimi to Boku,305,3,7.351,53802,17111,1994 to 1997
2375,Ladies versus Butlers!,https://myanimelist.net/manga/15937/Ladies_versus_Butlers,13,Unknown,Finished,Seinen,"Kouzuki, Tsukasa (Story), Munyuu (Art)",Dengeki Bunko Magazine,586,5,7.351,53812,12233,"Sep  10, 2006 to Mar  10, 2012"
2376,Joshiraku,https://myanimelist.net/manga/16104/Joshiraku,6,53,Finished,"Comedy, Shounen, Slice of Life","Kumeta, Kouji (Story), Yasu (Art)",Bessatsu Shounen Magazine,"2,099",38,7.351,53822,4723,"Sep  9, 2009 to Sep  9, 2013"
2377,Countdown 7 Days,https://myanimelist.net/manga/16936/Countdown_7_Days,4,18,Finished,"Supernatural, Josei","Karakara, Kemuri (Story & Art)",Comic Avarus,905,5,7.351,53832,9293,"Jun  15, 2009 to Dec  15, 2010"
2378,Maruoka-san Chi no Kyouikugakari,https://myanimelist.net/manga/17211/Maruoka-san_Chi_no_Kyouikugakari,1,6,Finished,"Comedy, Romance, Shoujo","Shiraishi, Yuki (Story & Art)",Sho-Comi,"3,170",2,7.351,53842,3198,"Nov  20, 2009 to Mar  15, 2010"
2379,Tenshi no Marshmallow,https://myanimelist.net/manga/17421/Tenshi_no_Marshmallow,4,32,Finished,"Drama, Ecchi, Romance, Seinen","Pon, Takahanada (Story & Art)",Young Comic,909,6,7.351,53852,9273,"Jan  8, 2006 to Nov  10, 2010"
2380,Lock On!,https://myanimelist.net/manga/18361/Lock_On,2,18,Finished,"Comedy, Romance, School, Shounen, Slice of Life","Tsuchida, Kenta (Story & Art)",Shounen Jump (Weekly),"8,550",56,7.351,53862,1114,"Feb  22, 2010 to Jun  28, 2010"
2381,The Bear-Like Fox Meets The Wolf,https://myanimelist.net/manga/18747/The_Bear-Like_Fox_Meets_The_Wolf,8,Unknown,Finished,Shoujo,"Han, Yu-Rang (Story & Art)",    None,861,5,7.351,53872,9627,Not available
2382,Zettai☆Reiiki,https://myanimelist.net/manga/19945/Zettai☆Reiiki,9,72,Finished,"Comedy, Shounen, Supernatural","Yoshibe, Akuro (Story & Art)",Gangan Joker,"1,542",10,7.361,52702,6228,"May  22, 2010 to Aug  22, 2014"
2383,Clover no Kuni no Alice: Shirousagi to Tokeijikake no Wana,https://myanimelist.net/manga/20042/Clover_no_Kuni_no_Alice__Shirousagi_to_Tokeijikake_no_Wana,3,9,Finished,"Fantasy, Romance, Shoujo","QuinRose (Story), Kizuki, Nayu (Story & Art)",    None,894,4,7.371,51762,9364,"Jun  25, 2010 to Nov  25, 2010"
2384,Vampire to Shinigami,https://myanimelist.net/manga/20397/Vampire_to_Shinigami,Unknown,1,Finished,"Comedy, Romance, Shoujo, Vampire, Supernatural","Ikemi, Runa (Story & Art)",Hana to Yume,"3,529",13,7.351,53882,2883,2009
